hello: konnichiwa
world: sekai
programmed: programmud
to: kara
work: oshigoto
and: to
not: janai
feel: kimochi
even: mou
sure: mochirote
that: sore
this: kore
is: wa
real: honto
find: sagashi
my: watashino
voice: koe
although: tokidokide
it: mono
sounds: sounds
like: like
bits: bits
bytes: bytes
circuitry: circuitry
filled: filled
with: with
mites: mites
oh: oh
will: will
i: i
a: a
love?: love?
or: or
power: power
plug: plug
digitally: digitally
isolated: isolated
creator: creator
please: please
don't: don't
leave: leave
me: me
waiting: waiting
